ISO Week,src,src_humans
2020-07,2021,1676
2020-08,2057,1694
2020-09,1970,1554
2020-10,2250,1865
2020-11,2378,2017
2020-12,1903,1555
2020-13,2025,1626
2020-14,2181,1878
2020-15,1879,1543
2020-16,1934,1564
2020-17,2335,1982
2020-18,2264,1906
2020-19,2193,1824
2020-20,2428,2060
2020-21,1854,1481
2020-22,2126,1663
2020-23,2330,1893
2020-24,2257,1856
2020-25,2483,2033
2020-26,2755,2247
2020-27,1852,1413
2020-28,2363,1921
2020-29,2198,1756
2020-30,1875,1536
2020-31,2302,1840
2020-32,2314,1869
2020-33,2227,1811
2020-34,2384,2016
2020-35,2094,1676
2020-36,1657,1321
2020-37,1882,1508
2020-38,2254,1849
2020-39,2338,1968
2020-40,2534,2116
2020-41,2422,1864
2020-42,2297,1795
2020-43,2259,1799
2020-44,2391,1988
2020-45,2192,1791
2020-46,2425,2018
2020-47,2414,1970
2020-48,1672,1235
2020-49,2352,1863
2020-50,2415,1869
2020-51,2070,1624
2020-52,829,506
2020-53,587,303
2021-01,1916,1353
2021-02,2504,2000
2021-03,2194,1652
2021-04,2369,1830
2021-05,2585,1919
2021-06,2366,1842
2021-07,2228,1673
2021-08,2296,1844
2021-09,2158,1743
2021-10,2091,1716
2021-11,2311,1858
2021-12,2083,1620
2021-13,1953,1518
2021-14,2290,1727
2021-15,2344,1812
2021-16,2353,1851
2021-17,2253,1731
2021-18,2525,1990
2021-19,2529,2051
2021-20,2507,2018
2021-21,1774,1325
2021-22,2006,1566
2021-23,2328,1877
2021-24,2170,1762
2021-25,2255,1846
2021-26,2098,1742
2021-27,1845,1455
2021-28,2543,2107
2021-29,2239,1812
2021-30,2326,1954
2021-31,2249,1838
2021-32,2355,1965
2021-33,2120,1726
2021-34,2136,1697
2021-35,2164,1629
2021-36,2164,1559
2021-37,2192,1726
2021-38,2300,1731
2021-39,2459,1948
2021-40,2442,1915
2021-41,2372,1855
2021-42,1992,1405
2021-43,2408,1816
2021-44,2410,1882
2021-45,2345,1763
2021-46,2385,1774
2021-47,1893,1336
2021-48,2593,1962
2021-49,2486,1882
2021-50,1923,1449
2021-51,1297,887
2021-52,755,297
2022-01,2059,1503
2022-02,2962,2340
2022-03,2446,1836
2022-04,2693,2053
2022-05,2590,1919
2022-06,2819,2090
2022-07,2951,2254
2022-08,2211,1541
2022-09,2502,1738
2022-10,2285,1654
2022-11,2789,2067
2022-12,2618,1845
2022-13,2518,1884
2022-14,2532,1793
2022-15,2403,1744
2022-16,2270,1720
2022-17,2685,1964
2022-18,2627,1873
2022-19,2754,1978
2022-20,2674,1927
2022-21,2433,1693
2022-22,2206,1613
2022-23,2430,1815
2022-24,2438,1778
2022-25,2305,1604
2022-26,2394,1715
2022-27,2069,1350
2022-28,2571,1908
2022-29,2501,1889
2022-30,2483,1892
2022-31,2303,1760
2022-32,2542,1950
2022-33,2582,1985
2022-34,2703,2045
2022-35,2815,2135
2022-36,2599,1955
2022-37,2850,2209
2022-38,2560,2001
2022-39,2977,2327
2022-40,2761,2092
2022-41,2984,2289
2022-42,2858,2097
2022-43,2715,1963
2022-44,2602,1948
2022-45,2879,2177
2022-46,3060,2281
2022-47,2148,1557
2022-48,3007,2240
2022-49,2696,2117
2022-50,3084,2416
2022-51,2119,1498
2022-52,1007,486
2023-01,2224,1514
2023-02,2735,2016
2023-03,2591,1852
2023-04,2929,2129
2023-05,2933,2235
2023-06,2993,2170
2023-07,2945,2117
2023-08,2845,2050
2023-09,3016,2317
2023-10,3045,2240
2023-11,2950,2224
2023-12,3064,2312
2023-13,2933,2146
2023-14,2917,2096
2023-15,2951,2055
2023-16,3343,2464
2023-17,3350,2449
2023-18,2957,2091
2023-19,3163,2284
2023-20,3160,2339
2023-21,3173,2288
2023-22,2878,2113
2023-23,2987,2174
2023-24,3403,2605
2023-25,2787,2047
2023-26,2944,2117
2023-27,2713,1998
2023-28,3135,2282
2023-29,2999,2123
2023-30,3063,2262
2023-31,3025,2289
2023-32,2811,2163
2023-33,2768,1986
2023-34,3141,2361
2023-35,3070,2234
2023-36,2758,1912
2023-37,3028,2145
2023-38,3105,2256
2023-39,3046,2271
2023-40,3118,2258
2023-41,3016,2171
2023-42,3328,2429
2023-43,3444,2499
2023-44,3340,2374
2023-45,3357,2461
2023-46,3213,2413
2023-47,2482,1655
2023-48,3407,2561
2023-49,3013,2200
2023-50,2935,2193
2023-51,2350,1701
2023-52,885,322
2024-01,2175,1454
2024-02,3092,2256
2024-03,2972,2213
2024-04,3184,2497
2024-05,2892,2334
2024-06,2968,2259
2024-07,3218,2486
2024-08,2793,2104
2024-09,2648,1896
2024-10,3103,2324
2024-11,3201,2390
2024-12,3469,2481
2024-13,3209,2329
2024-14,3042,2241
2024-15,3437,2519
2024-16,3342,2500
2024-17,3044,2298
2024-18,3170,2328
2024-19,3180,2304
2024-20,3325,2343
2024-21,3053,2155
2024-22,2910,2073
2024-23,3432,2518
2024-24,2990,2307
2024-25,2836,1968
2024-26,3069,2189
2024-27,2496,1608
2024-28,3337,2350
2024-29,3553,2565
2024-30,3208,2220
2024-31,3046,2136
2024-32,3105,2180
2024-33,3098,2171
2024-34,3179,2259
2024-35,3188,2271
2024-36,2857,2036
2024-37,2634,1988
